# src, RA(deg), err_RA(deg), Dec(deg), err_Dec(deg), Flux(Jy), err_Flux(Jy)
   0,  40.4413388243949,   0.0028537735421, -28.4470869709040,   0.0039964586118,   0.3950425072948,   0.0335936783903
   1,  38.7978206960390,   0.0065420542154, -28.8056604671516,   0.0062285091578,   0.0985875882415,   0.0298482609701
   2,  40.1054107106807,   0.0043627610688, -26.9601886512853,   0.0055888196100,   0.2124578245248,   0.0315281621374
   3,  40.0483071146270,   0.0030397206034, -29.2392514780471,   0.0037484926324,   0.3609054013751,   0.0361847089260
   4,  38.5875399829992,   0.0015091005273, -27.4228243788039,   0.0020312863121,   0.6350478139444,   0.0298182867701
   5,  41.5365917832560,   0.0035753747533, -27.5812130371698,   0.0034685541728,   0.4442532398922,   0.0414912597254
   6,  37.7954882479420,   0.0012027984049, -27.3631036776135,   0.0016275294774,   0.7614173723199,   0.0264553598531
   7,  41.3262758753313,   0.0034283207929, -26.8605599734892,   0.0052771613207,   0.3281254456307,   0.0355639545158
   8,  41.2183363548835,   0.0029971564943, -28.7356490444383,   0.0041347159420,   0.4087548706721,   0.0397951750173
   9,  42.1257662995474,   0.0025911393801, -29.4704870980653,   0.0036041701803,   0.6492402502343,   0.0486039344248
  10,  38.6065300766330,   0.0018143095183, -27.3520786804561,   0.0021742178020,   0.5391554682723,   0.0270661027437
  11,  41.3770425035687,   0.0032059367658, -26.4495918047476,   0.0041685431458,   0.3559855704933,   0.0356769857268
  12,  42.8376328839464,   0.0035174326819, -29.7864387113130,   0.0043149004251,   0.5165425633036,   0.0496100411962
  13,  39.2493938066679,   0.0010304377704, -28.4822119765379,   0.0015129575334,   1.0109698790796,   0.0326702222456
  14,  39.7107999067913,   0.0020157027135, -27.5700056467824,   0.0023654967610,   0.5345021810405,   0.0297738476949
  15,  37.3246078185410,   0.0026822646421, -28.7661247597322,   0.0033921833480,   0.3499057776826,   0.0307393450009
  16,  38.1416012775458,   0.0041110621413, -27.4263328023354,   0.0074662304594,   0.1594663355024,   0.0268296690393
  17,  41.5012701103014,   0.0036962635811, -29.1808371551150,   0.0040177932112,   0.4538620088445,   0.0448757721215
  18,  38.4785055885176,   0.0006949200590, -29.7438170366062,   0.0008164628136,   1.4546264949165,   0.0290143476506
  19,  40.3656579194839,   0.0018799918038, -28.7184198718753,   0.0021013771914,   0.7359748168077,   0.0369119606432
  20,  37.7939500859014,   0.0008395189810, -26.8319872833675,   0.0010513385854,   1.0616606571340,   0.0292543910481
  21,  40.5434045464256,   0.0015706733690, -27.7734684705584,   0.0020601789902,   0.7836353976656,   0.0388485245231
  22,  40.4457902033102,   0.0033318765194, -29.1560415796573,   0.0038981203860,   0.4925558347122,   0.0368032369198
  23,  40.4226418881255,   0.0018615522464, -28.6424672504199,   0.0021806050501,   0.5303065770733,   0.0403861533334
  24,  38.6956957771560,   0.0077681478710, -27.0627050532365,   0.0063985387979,   0.1998199258342,   0.0285491653884
  25,  42.1392836853959,   0.0055928139715, -26.2757261313989,   0.0103619685966,   0.2442237529748,   0.0443645030085
  26,  40.8132042557603,   0.0019156959149, -27.5024335906230,   0.0020321605092,   0.7861676786199,   0.0373509580769
  27,  37.9428244509089,   0.0061583500558, -26.6500674306364,   0.0086317281045,   0.1280828876474,   0.0268550811383
  28,  40.4793453302606,   0.0032615678680, -26.4752032606311,   0.0049650188082,   0.2458711917228,   0.0347216787723
  29,  37.8226034675424,   0.0035047143198, -29.1614375631294,   0.0040608960965,   0.3575732161432,   0.0298104625529
  30,  38.2685787590904,   0.0031341244143, -26.1474905510491,   0.0034274941956,   0.3547520477195,   0.0265461385686
  31,  38.4797153011324,   0.0105569415726, -27.4362916292683,   0.0093408528116,   0.1309179779402,   0.0289011773557
  32,  38.8919390624595,   0.0022054447704, -27.6826760696982,   0.0022604283036,   0.4979772812634,   0.0285308509300
  33,  37.6838109325508,   0.0039961966615, -27.6479839992250,   0.0046947075748,   0.2045277633481,   0.0251413369321
  34,  41.7805438493370,   0.0043524316442, -27.5332625419452,   0.0143100352903,   0.1588633792579,   0.0393454585036
  35,  41.6297199239833,   0.0062195292017, -29.3021348697426,   0.0084861120278,   0.2652718806358,   0.0397052359698
  36,  39.7359502275409,   0.0014112627510, -27.4589223130151,   0.0017702226892,   0.7273986529041,   0.0307120608306
  37,  37.4124149661121,   0.0080376742845, -30.0066495238978,   0.0069146154166,   0.1388236891540,   0.0310299605574
  38,  39.3809403245550,   0.0066334238132, -29.7866978895572,   0.0088846406512,   0.1853229221135,   0.0338333630140
  39,  41.8830366910396,   0.0032213122816, -27.2821890849426,   0.0047424898867,   0.4000093822690,   0.0432946445005
  40,  37.9203807373475,   0.0021773332826, -28.7215275453357,   0.0025499577982,   0.4483431168921,   0.0292164130593
  41,  40.1409410700695,   0.0030790914932, -26.3407548355758,   0.0036400971395,   0.3540753544786,   0.0352355638164
  42,  39.0243273260408,   0.0003100352295, -28.7910096901827,   0.0003886732835,   3.4376837654160,   0.0332647741247
  43,  39.9837377053640,   0.0007722312136, -26.7480122110378,   0.0008814464984,   1.4427528273224,   0.0296610217478
